source_id,source_group,ok,status_code,evidence_count,robots_blocked,error,url
numerospam_special_907,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos-especiales/es/907,https://numerospam.es/prefijos-especiales/es/907
numerospam_special_908,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos-especiales/es/908,https://numerospam.es/prefijos-especiales/es/908
numerospam_special_909,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos-especiales/es/909,https://numerospam.es/prefijos-especiales/es/909
openspam_home,openspam,0,,0,0,HTTPError: 403 Client Error: Forbidden for url: https://openspam.es/,https://openspam.es/
slickly_es,slickly,0,,0,0,HTTPError: 403 Client Error: Forbidden for url: https://slick.ly/es,https://slick.ly/es
spamcalls_es,spamcalls,0,,0,0,HTTPError: 403 Client Error: Forbidden for url: https://spamcalls.net/es/country-code/34,https://spamcalls.net/es/country-code/34
telefonospam_latest,telefonospam,0,,0,0,HTTPError: 403 Client Error: Forbidden for url: https://www.telefonospam.com/ultimos,https://www.telefonospam.com/ultimos
tellows_stats,tellows,0,,0,0,HTTPError: 403 Client Error: Forbidden for url: https://www.tellows.es/stats,https://www.tellows.es/stats
cleverdialer_top_24h,cleverdialer,1,200,81,0,,https://www.cleverdialer.es/top-spammer-de-las-ultimas-24-horas
datos_last,datostelefonicos,1,200,200,0,,https://datostelefonicos.com/ultimos-buscados/es?limit=200
datos_top,datostelefonicos,1,200,128,0,,https://datostelefonicos.com/mas-buscados/es?limit=200
detectaspam_home,detectaspam,1,200,22,0,,https://detectaspam.com/
